Feature_ID	List
6303_gene	10m
6622_gene	10m,1hr
6244_gene	10m
6245_gene	10m
5243_gene	10m,1hr
5621_gene	10m
5918_gene	10m,1hr
6538_gene	10m,1hr
5619_gene	10m
6099_gene	10m
6019_gene	10m
6564_gene	10m
5357_gene	10m
6562_gene	10m
6186_gene	10m
6146_gene	10m
6646_gene	10m
5864_gene	10m,1hr
6516_gene	10m,1hr
6498_gene	10m
6560_gene	10m
5399_gene	10m,1hr
6347_gene	10m,1hr
6432_gene	10m,1hr
6069_gene	10m
6290_gene	10m
5616_gene	10m
5615_gene	10m,1hr
6741_gene	10m
5921_gene	10m,1hr
5893_gene	10m
5801_gene	10m
5375_gene	10m,1hr
5958_gene	10m
5938_gene	10m
6598_gene	10m
5678_gene	10m
6209_gene	10m
6630_gene	10m
6279_gene	10m
6403_gene	10m
6028_gene	10m,1hr
5929_gene	10m
5518_gene	10m
6339_gene	10m
6368_gene	10m
5527_gene	10m
6592_gene	10m
5809_gene	10m,1hr
6078_gene	10m,1hr
5537_gene	10m
6127_gene	10m,1hr
6284_gene	10m,1hr
6027_gene	10m,1hr
5677_gene	10m,1hr
6705_gene	10m,1hr
6520_gene	10m
6185_gene	10m
6433_gene	10m,1hr
6309_gene	10m,1hr
6029_gene	10m
5836_gene	10m
5500_gene	10m,1hr
6057_gene	10m
5891_gene	10m
5774_gene	10m
6068_gene	10m,1hr
5666_gene	10m,1hr
6273_gene	10m
5992_gene	10m
5928_gene	10m
5699_gene	10m,1hr
6637_gene	10m
6423_gene	10m
6377_gene	10m,1hr
5587_gene	10m
5489_gene	10m
5501_gene	10m
5731_gene	10m,1hr
6135_gene	10m,1hr
5606_gene	10m
6537_gene	10m,1hr
6561_gene	10m
5577_gene	10m
8003_gene	10m,1hr
8283_gene	10m,1hr
7135_gene	10m
8029_gene	10m
7500_gene	10m
7179_gene	10m
7301_gene	10m
7788_gene	10m,1hr
7982_gene	10m,1hr
8002_gene	10m,1hr
7893_gene	10m
8084_gene	10m
7204_gene	10m
7591_gene	10m
8136_gene	10m,1hr
6850_gene	10m,1hr
7029_gene	10m,1hr
7856_gene	10m
8449_gene	10m,1hr
7810_gene	10m
7040_gene	10m
7336_gene	10m,1hr
7211_gene	10m,1hr
7970_gene	10m
7337_gene	10m,1hr
7713_gene	10m
8332_gene	10m
6848_gene	10m
8216_gene	10m,1hr
7335_gene	10m,1hr
7112_gene	10m
6793_gene	10m
6946_gene	10m
8474_gene	10m,1hr
8034_gene	10m
7668_gene	10m
7341_gene	10m
7376_gene	10m
7486_gene	10m,1hr
7067_gene	10m,1hr
6794_gene	10m,1hr
7108_gene	10m,1hr
8301_gene	10m
7776_gene	10m,1hr
8050_gene	10m,1hr
7937_gene	10m
6864_gene	10m
7044_gene	10m,1hr
6916_gene	10m,1hr
6991_gene	10m,1hr
8457_gene	10m
7462_gene	10m,1hr
7554_gene	10m
7338_gene	10m,1hr
7120_gene	10m,1hr
7245_gene	10m
6988_gene	10m
7845_gene	10m,1hr
7369_gene	10m
7070_gene	10m,1hr
8345_gene	10m
7172_gene	10m,1hr
7343_gene	10m,1hr
8364_gene	10m
7881_gene	10m,1hr
6995_gene	10m,1hr
7880_gene	10m,1hr
7297_gene	10m
